epoch,step,train_loss,step_time_ms
19,250,0.061931,318.857
19,300,0.060649,318.705
19,350,0.060446,318.468
19,400,0.068863,319.091
19,450,0.059140,318.860
19,500,0.060116,319.044
19,550,0.058745,319.126
19,600,0.066263,319.039
19,650,0.059767,319.163
19,700,0.064692,319.129
19,750,0.062460,319.024
20,0,0.055763,322.113
20,50,0.063110,319.644
20,100,0.059237,318.894
20,150,0.067269,318.391
20,200,0.064019,318.629
20,250,0.061932,318.661
20,300,0.060650,318.864
20,350,0.060445,318.760
20,400,0.068862,318.749
20,450,0.059140,318.496
20,500,0.060116,319.477
20,550,0.058745,318.752
20,600,0.066263,319.337
20,650,0.059767,318.978
20,700,0.064692,319.254
20,750,0.062460,319.059
